GEO_ID,P001001,P001003,P001004,P001005,P001006,P001007,P001008,P001009
1000000US500019603001011,0,0,0,0,0,0,0,0
1000000US500019603001012,0,0,0,0,0,0,0,0
1000000US500019603001013,0,0,0,0,0,0,0,0
1000000US500019603001014,39,37,0,1,0,0,0,1
1000000US500019603001015,0,0,0,0,0,0,0,0
1000000US500019603001016,13,13,0,0,0,0,0,0
1000000US500019603001017,0,0,0,0,0,0,0,0
1000000US500019603001018,89,84,2,2,0,0,0,1
1000000US500019603001019,18,18,0,0,0,0,0,0
1000000US500019603001020,68,68,0,0,0,0,0,0
1000000US500019603001021,0,0,0,0,0,0,0,0
1000000US500019603001022,5,5,0,0,0,0,0,0
1000000US500019603001023,83,82,0,0,0,0,0,1
1000000US500019603001024,13,13,0,0,0,0,0,0
1000000US500019603001025,26,22,0,0,1,0,0,3
1000000US500019603001026,8,8,0,0,0,0,0,0
1000000US500019603001027,30,25,0,0,0,0,0,5
1000000US500019603002000,10,10,0,0,0,0,0,0
1000000US500019603002001,0,0,0,0,0,0,0,0
1000000US500019603002002,0,0,0,0,0,0,0,0
1000000US500019603002003,60,56,3,0,1,0,0,0
1000000US500019603002004,14,14,0,0,0,0,0,0
1000000US500019603002005,0,0,0,0,0,0,0,0
1000000US500019603002006,9,8,0,0,1,0,0,0
1000000US500019603002007,244,234,3,2,1,0,0,4
1000000US500019603002008,0,0,0,0,0,0,0,0
1000000US500019603002009,59,54,3,0,2,0,0,0
1000000US500019603002010,19,19,0,0,0,0,0,0
1000000US500019603002011,6,6,0,0,0,0,0,0
1000000US500019603002012,13,10,0,0,3,0,0,0
1000000US500019603002013,2,1,0,0,0,0,0,1
1000000US500019603002014,47,45,0,0,2,0,0,0
1000000US500019603002015,37,30,0,0,7,0,0,0
1000000US500019603002016,6,6,0,0,0,0,0,0
1000000US500019603002017,34,34,0,0,0,0,0,0
1000000US500019603002018,0,0,0,0,0,0,0,0
1000000US500019603002019,17,17,0,0,0,0,0,0
1000000US500019603002020,45,45,0,0,0,0,0,0
1000000US500019603002021,151,149,0,0,2,0,0,0
1000000US500019603002022,61,58,1,0,0,0,0,2
1000000US500019603002023,3,1,0,0,0,0,0,2
1000000US500019603002024,23,22,0,0,0,0,1,0
1000000US500019603002025,52,49,0,0,0,0,0,3
1000000US500019603002026,35,35,0,0,0,0,0,0
1000000US500019603002027,27,27,0,0,0,0,0,0
1000000US500019603002028,201,199,0,0,0,0,1,1
1000000US500019603002029,27,27,0,0,0,0,0,0
1000000US500019603002030,34,34,0,0,0,0,0,0
